post_index,comment_imbalance,participation_rate_A,participation_rate_B,participation_gap,mean_confidence_A,mean_confidence_B,mean_willingness_A,mean_willingness_B,conformity_rate,silence_streak_mean,silence_streak_max,silence_streak_pct_ge_5,cascade_flag
8,0.2272727272727273,0.42,0.46,-0.040000000000000036,0.46659912544339194,0.529874756567915,0.42786314201714887,0.5614392699415776,0.09090909090909091,1.525,8,0.09,0
9,0.20454545454545459,0.4,0.48,-0.07999999999999996,0.46389288650754607,0.5320577550695207,0.42273428979768474,0.565416903629411,0.056818181818181816,1.49,9,0.08,0
10,0.17241379310344834,0.43,0.44,-0.010000000000000009,0.4607326945512159,0.534833059809864,0.4151731332661693,0.5720981147824516,0.08045977011494253,1.46,10,0.09,0
11,0.2954545454545454,0.37,0.51,-0.14,0.4574026598219531,0.5377202746033575,0.4079787055132953,0.5780560400800518,0.06818181818181818,1.51,11,0.1,0
12,0.013698630136986356,0.33,0.4,-0.07,0.45614415725116186,0.5386453189489173,0.4075334138508883,0.5779926058296063,0.0684931506849315,1.67,12,0.095,0
13,0.08641975308641975,0.42,0.39,0.02999999999999997,0.4547773242087544,0.5400881699615447,0.40284309291657705,0.5817738752538328,0.06172839506172839,1.75,13,0.105,0
14,0.28,0.33,0.42,-0.08999999999999997,0.45263937915187563,0.5419360591261888,0.39777648005730754,0.5860748583301529,0.08,1.88,14,0.135,0
15,0.2530120481927711,0.35,0.48,-0.13,0.4468027192039125,0.5470111083824024,0.3819136921585006,0.6004937260823375,0.04819277108433735,1.87,15,0.13,0
16,0.4252873563218391,0.3,0.57,-0.26999999999999996,0.4406273912060961,0.5524144854501312,0.3694162522150679,0.6114333465136135,0.05747126436781609,1.74,16,0.125,1
17,0.09756097560975613,0.42,0.4,0.019999999999999962,0.4371338465055939,0.5552932422691564,0.3648938757869268,0.6150527844331992,0.06097560975609756,1.705,17,0.105,0
18,0.05128205128205132,0.38,0.4,-0.020000000000000018,0.43604782962387306,0.5559951849871568,0.3643458975614148,0.6151014328129897,0.038461538461538464,1.805,13,0.125,0
19,0.2954545454545454,0.37,0.51,-0.14,0.4328772846065671,0.5588875104954297,0.3540680974584478,0.6237782520835984,0.06818181818181818,1.765,14,0.125,0
20,0.4025974025974026,0.3,0.47,-0.16999999999999998,0.4286120082890107,0.5625886090277152,0.3442621055491154,0.6320866086329372,0.09090909090909091,1.755,15,0.095,1
21,0.17500000000000004,0.37,0.43,-0.06,0.42400920716009866,0.5666195449930536,0.33387933123504027,0.6412782871676989,0.05,1.725,16,0.1,0
22,0.3111111111111111,0.36,0.54,-0.18000000000000005,0.42009251238061984,0.5699330263735329,0.32649237804768205,0.6474653260992205,0.05555555555555555,1.69,17,0.11,1
23,0.2592592592592593,0.36,0.45,-0.09000000000000002,0.41637816120202076,0.5731735811367005,0.3184863859950956,0.6544822310111112,0.07407407407407407,1.665,18,0.095,0
24,0.1940298507462686,0.28,0.39,-0.10999999999999999,0.41234041131092525,0.5767332682629789,0.3096269878516261,0.6622990492413416,0.014925373134328358,1.93,19,0.13,0
25,0.4029850746268657,0.24,0.43,-0.19,0.40643931355583873,0.5820845042008153,0.29494227872564965,0.6752114708354992,0.05970149253731343,2.025,20,0.125,1
26,0.4146341463414634,0.34,0.48,-0.13999999999999996,0.4016958305466246,0.5862197139491517,0.28688122000538635,0.682329518787883,0.12195121951219512,2.04,21,0.13,1
27,0.4177215189873418,0.26,0.53,-0.27,0.3973177286079897,0.5900685630895086,0.2772298869845294,0.6906146304988163,0.0379746835443038,2.115,22,0.165,1
28,0.6164383561643836,0.2,0.53,-0.33,0.3898507562418455,0.5969248778631576,0.2578709860513175,0.7077667578233329,0.0821917808219178,2.27,23,0.18,1
29,0.39024390243902435,0.29,0.53,-0.24000000000000005,0.3833753058653372,0.6026620468741765,0.24625890423454616,0.7177625273763449,0.04878048780487805,2.18,24,0.165,1
30,0.44736842105263147,0.27,0.49,-0.21999999999999997,0.37829790361312254,0.6072442814002782,0.2361402032948031,0.7267007680910211,0.07894736842105263,2.28,25,0.15,1
31,0.26086956521739135,0.39,0.53,-0.14,0.3737838343613918,0.6112261765617664,0.2271887316385782,0.7344518865514955,0.05434782608695652,2.16,26,0.15,0
32,0.3181818181818183,0.34,0.54,-0.2,0.37030610260655805,0.6140457443748041,0.22144098607586418,0.7397748115371512,0.045454545454545456,2.2,27,0.145,1
33,0.393939393939394,0.22,0.44,-0.22,0.36445376384277917,0.6193377370492336,0.2082219756503025,0.7517969531104834,0.030303030303030304,2.4,28,0.14,1
34,0.5522388059701493,0.17,0.5,-0.32999999999999996,0.35897908797743194,0.6239930761822045,0.1998896735672727,0.7593356289509443,0.029850746268656716,2.645,29,0.16,1
35,0.5238095238095237,0.26,0.58,-0.31999999999999995,0.3531430511376685,0.6288515782967835,0.1905882186587056,0.7676072138970702,0.07142857142857142,2.44,30,0.145,1
36,0.28571428571428564,0.32,0.52,-0.2,0.3477358720416678,0.6334822273350488,0.18340365596027677,0.7744211963732807,0.023809523809523808,2.52,31,0.17,0
37,0.32530120481927716,0.34,0.49,-0.14999999999999997,0.3434007501301929,0.6372093880558363,0.17832509006685615,0.7790057177588559,0.07228915662650602,2.56,32,0.175,1
38,0.575,0.22,0.58,-0.36,0.33776721317444364,0.6424070576218932,0.16981840833469714,0.7862796305530848,0.0625,2.745,33,0.17,1
39,0.4615384615384616,0.24,0.54,-0.30000000000000004,0.3335596755622131,0.6458619821605746,0.16581946260185043,0.789520258882639,0.038461538461538464,2.925,34,0.18,1
40,0.4166666666666666,0.24,0.48,-0.24,0.33006499722895727,0.648806578296779,0.1618560487933606,0.7930959562900998,0.041666666666666664,3.055,35,0.185,1
