post_index,comment_imbalance,participation_rate_A,participation_rate_B,participation_gap,mean_confidence_A,mean_confidence_B,mean_willingness_A,mean_willingness_B,conformity_rate,silence_streak_mean,silence_streak_max,silence_streak_pct_ge_5,cascade_flag
26,0.1363636363636363,0.52,0.36,0.16000000000000003,0.5604440990999194,0.4450171025634259,0.6252097264546902,0.38739569456892625,0.1590909090909091,1.69,16,0.11,0
27,0.16883116883116878,0.41,0.36,0.04999999999999999,0.5562160968056792,0.448820996840231,0.6148873485123618,0.39660166914938494,0.11688311688311688,1.89,17,0.13,0
28,0.14634146341463422,0.42,0.4,0.019999999999999962,0.5526115195879429,0.45160213440253477,0.6084681509144115,0.401441092017793,0.08536585365853659,1.71,18,0.1,0
29,0.146067415730337,0.48,0.41,0.07,0.552355312294265,0.45147111126785705,0.6114124474638822,0.39909701477229975,0.033707865168539325,1.685,19,0.105,0
30,0.04347826086956519,0.51,0.41,0.10000000000000003,0.5517988561321279,0.45207055331438495,0.6084311739949597,0.4015354381680517,0.07608695652173914,1.58,20,0.095,0
31,0.14606741573033716,0.48,0.41,0.07,0.5485380676090195,0.45547076095838795,0.5989024705913087,0.41013947245409965,0.11235955056179775,1.565,21,0.095,0
32,0.0,0.35,0.29,0.06,0.5461260506697926,0.4576246944949795,0.5954035220333406,0.4125787212192122,0.046875,1.835,22,0.095,0
33,0.024390243902439046,0.47,0.35,0.12,0.5436764351286668,0.4601298091137154,0.5892664085077728,0.41843258956428103,0.08536585365853659,1.82,23,0.09,0
34,0.01149425287356326,0.44,0.43,0.010000000000000009,0.5410381851343563,0.4626195059349121,0.5837168435296957,0.4237676495617979,0.011494252873563218,1.75,24,0.1,0
35,0.03370786516853924,0.46,0.43,0.030000000000000027,0.5385385244229346,0.4648791098646788,0.5776632511594931,0.4284480985279955,0.033707865168539325,1.625,25,0.09,0
36,0.05747126436781613,0.45,0.42,0.030000000000000027,0.5368487814347085,0.4663233300382501,0.5748415854999677,0.4307393937773466,0.04597701149425287,1.595,13,0.1,0
37,0.16666666666666657,0.43,0.41,0.020000000000000018,0.5328964938600597,0.4700667481020135,0.5634712549831453,0.44112308225189273,0.09523809523809523,1.545,14,0.085,0
38,0.1538461538461538,0.4,0.38,0.020000000000000018,0.5281442083745767,0.4744837506258716,0.5531189701533057,0.4498708790657815,0.08974358974358974,1.59,15,0.085,0
39,0.13253012048192764,0.4,0.43,-0.02999999999999997,0.5258161464174518,0.4765179444028038,0.5508405916898148,0.45182692832085974,0.04819277108433735,1.66,11,0.115,0
40,0.098901098901099,0.49,0.42,0.07,0.5251585813879717,0.4769511554978758,0.5507110140354874,0.451732873504399,0.03296703296703297,1.43,12,0.075,0
