post_index,comment_imbalance,participation_rate_A,participation_rate_B,participation_gap,mean_confidence_A,mean_confidence_B,mean_willingness_A,mean_willingness_B,conformity_rate,silence_streak_mean,silence_streak_max,silence_streak_pct_ge_5,cascade_flag
11,0.2954545454545454,0.37,0.51,-0.14,0.4574026598219531,0.5377202746033575,0.4079787055132953,0.5780560400800518,0.06818181818181818,1.51,11,0.1,0
12,0.013698630136986356,0.33,0.4,-0.07,0.45614415725116186,0.5386453189489173,0.4075334138508883,0.5779926058296063,0.0684931506849315,1.67,12,0.095,0
13,0.08641975308641975,0.42,0.39,0.02999999999999997,0.4547773242087544,0.5400881699615447,0.40284309291657705,0.5817738752538328,0.06172839506172839,1.75,13,0.105,0
14,0.28,0.33,0.42,-0.08999999999999997,0.45263937915187563,0.5419360591261888,0.39777648005730754,0.5860748583301529,0.08,1.88,14,0.135,0
15,0.2530120481927711,0.35,0.48,-0.13,0.4468027192039125,0.5470111083824024,0.3819136921585006,0.6004937260823375,0.04819277108433735,1.87,15,0.13,0
16,0.4252873563218391,0.3,0.57,-0.26999999999999996,0.4406273912060961,0.5524144854501312,0.3694162522150679,0.6114333465136135,0.05747126436781609,1.74,16,0.125,1
17,0.09756097560975613,0.42,0.4,0.019999999999999962,0.4371338465055939,0.5552932422691564,0.3648938757869268,0.6150527844331992,0.06097560975609756,1.705,17,0.105,0
18,0.05128205128205132,0.38,0.4,-0.020000000000000018,0.43604782962387306,0.5559951849871568,0.3643458975614148,0.6151014328129897,0.038461538461538464,1.805,13,0.125,0
19,0.2954545454545454,0.37,0.51,-0.14,0.4328772846065671,0.5588875104954297,0.3540680974584478,0.6237782520835984,0.06818181818181818,1.765,14,0.125,0
20,0.4025974025974026,0.3,0.47,-0.16999999999999998,0.4286120082890107,0.5625886090277152,0.3442621055491154,0.6320866086329372,0.09090909090909091,1.755,15,0.095,1
21,0.14285714285714285,0.31,0.39,-0.08000000000000002,0.4263087627630424,0.5642931474933518,0.34196787767927267,0.6333401892878012,0.07142857142857142,1.835,16,0.095,0
22,0.1739130434782608,0.43,0.49,-0.06,0.4246897611137222,0.5656197538275477,0.3385252622984731,0.6360957751244377,0.05434782608695652,1.75,17,0.105,0
23,0.48148148148148145,0.3,0.51,-0.21000000000000002,0.42150311608968294,0.5685621365274833,0.32966086040126014,0.6435155586821429,0.1111111111111111,1.835,18,0.115,1
24,0.05555555555555558,0.31,0.41,-0.09999999999999998,0.42018666885400024,0.5695042471240254,0.3295087538946302,0.6433513015751372,0.041666666666666664,2.055,19,0.13,0
25,0.22388059701492535,0.27,0.4,-0.13,0.41906226513078,0.5707519982172148,0.32587239154030523,0.6465281411800877,0.014925373134328358,2.185,20,0.145,0
26,0.24137931034482762,0.41,0.46,-0.050000000000000044,0.42032743723711,0.5694594419376638,0.3316829643184771,0.6415695317572524,0.14942528735632185,2.09,21,0.13,0
27,0.358974358974359,0.27,0.51,-0.24,0.4190632793538085,0.5706435710785674,0.3248354711863521,0.6472265027859723,0.02564102564102564,2.105,22,0.155,1
28,0.04761904761904767,0.36,0.48,-0.12,0.4189155451308107,0.5703328504284528,0.3271879098464671,0.6449955334726413,0.09523809523809523,1.965,23,0.125,0
29,0.36708860759493667,0.3,0.49,-0.19,0.4179367632878114,0.5713528241398546,0.32340660741360727,0.6486459527663537,0.06329113924050633,2.12,24,0.145,1
30,0.2727272727272727,0.47,0.41,0.06,0.4186796653858997,0.5705253452116245,0.32763397333347366,0.6449592292595234,0.10227272727272728,2.02,25,0.12,0
31,0.0222222222222222,0.37,0.53,-0.16000000000000003,0.4208485582795491,0.5684746091779256,0.33336039057785016,0.6393071409470459,0.07777777777777778,1.81,23,0.115,0
32,0.303030303030303,0.24,0.42,-0.18,0.4199850374802393,0.5693688596090869,0.3272946465265571,0.6442587697465828,0.015151515151515152,2.03,24,0.11,1
33,0.38235294117647056,0.24,0.44,-0.2,0.4173689357380962,0.5716795347233914,0.32059735507235393,0.6497283703201431,0.04411764705882353,2.095,25,0.125,1
34,0.2987012987012987,0.32,0.45,-0.13,0.41471957670430654,0.5739661482722087,0.31527218346912195,0.6540093769452631,0.06493506493506493,2.115,22,0.135,0
35,0.05128205128205132,0.36,0.42,-0.06,0.41447745880678744,0.5740569501998146,0.3175173336330221,0.6519224433799383,0.038461538461538464,2.125,23,0.135,0
36,0.012048192771084265,0.4,0.43,-0.02999999999999997,0.41575414028452584,0.5727956568991531,0.32155365795281976,0.6485943209405446,0.024096385542168676,2.125,24,0.17,0
37,0.3333333333333334,0.3,0.51,-0.21000000000000002,0.41399134004520927,0.5744357273707568,0.31384198953846165,0.6551188096712722,0.037037037037037035,2.08,25,0.14,1
38,0.3012048192771084,0.34,0.49,-0.14999999999999997,0.41157113715378024,0.5765489957246707,0.3093658502205872,0.6590464961328337,0.060240963855421686,1.86,26,0.105,1
39,0.08045977011494254,0.33,0.54,-0.21000000000000002,0.41118205299551325,0.5766574461381716,0.3108012766730172,0.6572285558861408,0.10344827586206896,1.77,17,0.12,0
40,0.46987951807228917,0.28,0.55,-0.27,0.4080699185241547,0.5796190463822224,0.29988054291120236,0.6663099624968192,0.07228915662650602,1.81,18,0.105,1
