post_index,comment_imbalance,participation_rate_A,participation_rate_B,participation_gap,mean_confidence_A,mean_confidence_B,mean_willingness_A,mean_willingness_B,conformity_rate,silence_streak_mean,silence_streak_max,silence_streak_pct_ge_5,cascade_flag
19,0.2954545454545454,0.37,0.51,-0.14,0.4328772846065671,0.5588875104954297,0.3540680974584478,0.6237782520835984,0.06818181818181818,1.765,14,0.125,0
20,0.4025974025974026,0.3,0.47,-0.16999999999999998,0.4286120082890107,0.5625886090277152,0.3442621055491154,0.6320866086329372,0.09090909090909091,1.755,15,0.095,1
21,0.23287671232876717,0.28,0.45,-0.16999999999999998,0.4276692008759968,0.5629508316660777,0.3469400826504379,0.6286266288860795,0.0821917808219178,1.94,16,0.105,0
22,0.03614457831325302,0.3,0.53,-0.23000000000000004,0.4286393048119153,0.5619776092271391,0.3498029111724067,0.6261651329782922,0.12048192771084337,1.95,17,0.13,0
23,0.08108108108108114,0.3,0.44,-0.14,0.43186277361557784,0.5590879099224629,0.3583956544147884,0.6179662790843912,0.13513513513513514,1.865,18,0.115,0
24,0.1384615384615384,0.32,0.33,-0.010000000000000009,0.4361352446622785,0.555105793944805,0.367842160538461,0.6096155470570168,0.07692307692307693,2.065,19,0.13,0
25,0.2727272727272727,0.31,0.46,-0.15000000000000002,0.43787221165651885,0.5537283366864573,0.3683886256769215,0.6092675720796114,0.06493506493506493,2.135,20,0.14,0
26,0.20454545454545459,0.38,0.5,-0.12,0.44141844970038563,0.5503164004330048,0.3791448576052198,0.5996906355928447,0.17045454545454544,2.025,21,0.13,0
27,0.06976744186046502,0.39,0.47,-0.07999999999999996,0.44484865073182606,0.547115004596472,0.3854227861738484,0.5937053226069731,0.08139534883720931,1.885,22,0.13,0
28,0.14634146341463405,0.36,0.46,-0.10000000000000003,0.44966130086526507,0.5425274418645666,0.3983033154772958,0.5827033252601634,0.13414634146341464,1.755,20,0.11,0
29,0.08888888888888896,0.38,0.52,-0.14,0.45308526981167757,0.5398977247015787,0.40385919139896537,0.5785762585913309,0.03333333333333333,1.83,21,0.11,0
30,0.012048192771084432,0.32,0.51,-0.19,0.4555498232027944,0.5378356566607541,0.4089156241715489,0.5743067317493777,0.10843373493975904,1.775,22,0.095,0
31,0.20512820512820507,0.38,0.4,-0.020000000000000018,0.4586562942561446,0.5346067791201444,0.41675696589920963,0.566960012307463,0.11538461538461539,1.89,23,0.095,0
32,0.02777777777777768,0.33,0.39,-0.06,0.46107518448821244,0.5323695570529147,0.4206221585820233,0.5633950878826743,0.05555555555555555,1.94,24,0.1,0
33,0.125,0.4,0.4,0.0,0.46346561724060886,0.5301745861148699,0.4258723158213631,0.5586465074090742,0.0625,1.79,25,0.085,0
34,0.03703703703703698,0.35,0.46,-0.11000000000000004,0.4660096705980484,0.5276831312131606,0.4317119519285316,0.5537488986951662,0.08641975308641975,1.855,26,0.105,0
35,0.13636363636363646,0.46,0.42,0.040000000000000036,0.46867927222086503,0.5251973472355814,0.43761926688318176,0.5485824643063175,0.045454545454545456,1.865,27,0.115,0
36,0.18518518518518512,0.43,0.38,0.04999999999999999,0.47065314842855627,0.5232703202714116,0.44119794909128984,0.5452870420875322,0.06172839506172839,1.855,28,0.115,0
37,0.04761904761904767,0.39,0.45,-0.06,0.4719281995640483,0.5219488945936388,0.4435375995584851,0.5428995203644975,0.05952380952380952,1.89,29,0.115,0
38,0.29268292682926833,0.44,0.38,0.06,0.4755668689069526,0.5183307088493488,0.4543967770688368,0.5330737905719986,0.10975609756097561,1.875,30,0.125,0
39,0.07692307692307687,0.36,0.42,-0.06,0.4786514283572345,0.5155458925621533,0.45950618531402426,0.5283894070662506,0.07692307692307693,1.71,20,0.09,0
40,0.09302325581395343,0.4,0.46,-0.06,0.4807738036625431,0.5135547052213031,0.4634335978885633,0.5244993362590453,0.08139534883720931,1.66,21,0.095,0
